Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Roy Lassiter,TB ,F,30,30,2580,27,4,76,49,20,39,70,2,0,1996
Raul Diaz Arce,DC ,F,28,28,2351,23,2,100,49,32,26,35,6,1,1996
Eduardo Hurtado,LA ,F,26,26,2323,21,7,87,56,48,26,25,5,0,1996
Preki,KC ,M,32,32,2880,18,13,140,61,26,44,7,3,0,1996
Brian McBride,CLB,F,28,28,2307,17,3,79,44,21,46,10,0,0,1996
Steve Rammel,DC ,F,26,20,1649,14,3,54,32,27,42,20,4,0,1996
Vitalis Takawira,KC ,F,28,25,2233,13,7,70,48,35,42,44,0,1,1996
Paul Bravo,SJ ,M,31,31,2654,13,5,58,29,36,69,30,2,0,1996
Jason Kreis,DAL,M,31,29,2564,13,5,90,41,38,48,7,4,0,1996
Giovanni Savarese,MET,F,26,15,1576,13,1,49,32,27,22,38,1,0,1996
Pete Marino,CLB,F,29,18,1700,11,4,52,36,41,34,28,0,0,1996
Jean Harbor,COL,F,29,27,2111,11,4,61,33,43,39,24,3,1,1996
Joe-Max Moore,NE ,F,14,14,1238,11,1,36,19,20,24,16,2,0,1996
Eric Wynalda,SJ ,F,27,26,2326,10,13,68,38,39,55,40,6,0,1996
Eduardo Espinoza,SJ ,F,26,26,2310,10,5,54,30,33,49,35,5,1,1996
Mark Chung,KC ,M,32,32,2847,8,9,81,40,35,69,4,0,0,1996
Shaun Bartlett,COL,F,26,26,2252,8,7,88,39,25,32,27,5,0,1996
Giuseppe Galderisi,NE ,F,25,22,1961,7,8,57,25,32,89,22,5,0,1996
Cobi Jones,LA ,M,28,27,2375,7,4,48,24,26,76,15,2,0,1996
Steve Ralston,TB ,M,31,31,2762,7,2,24,12,25,33,4,1,0,1996
Marcelo Balboa,COL,D,18,16,1525,7,2,28,14,15,22,4,2,0,1996
Adrian Paz,CLB,M,27,19,1802,6,10,48,25,36,54,36,1,0,1996
Alberto Naveda,NE ,F,25,20,1734,6,7,65,35,51,60,3,8,0,1996
Harut Karapetyan,LA ,F,28,23,1860,6,6,62,30,27,27,16,1,0,1996
Hugo Sanchez,DAL,F,23,21,1708,6,3,40,23,27,36,9,6,1,1996
Maurice Johnston,KC ,M-F,29,29,2573,6,3,54,28,34,24,23,4,0,1996
Antony De Avila,MET,F,8,7,650,6,2,20,13,19,9,6,1,0,1996
Mauricio Cienfuegos,LA ,M,28,27,2405,5,11,47,26,24,46,17,6,0,1996
Gerell Elliott,DAL,F,20,16,1523,5,7,43,24,15,25,20,0,0,1996
Martin Vasquez,TB ,M,31,31,2700,5,6,51,25,49,36,2,5,0,1996
Brian Maisonneuve,CLB,M,15,13,1209,5,2,22,12,24,27,2,1,0,1996
John Kerr,DAL,F,19,16,1404,5,2,29,14,21,19,11,1,0,1996
A.J. Wood,MET,F,21,13,1136,5,2,34,22,17,25,4,0,0,1996
Steve Trittschuh,COL,D,32,32,2880,5,2,45,20,51,31,1,2,0,1996
Diego Viera,TB ,F,17,6,774,5,0,17,10,21,12,10,3,1,1996
Marco Etcheverry,DC ,M,26,23,2144,4,19,51,30,36,50,4,7,0,1996
Carlos Valderrama,TB ,M,23,23,2059,4,17,24,12,10,40,3,0,0,1996
Tony Sanneh,DC ,D,25,24,2047,4,8,32,19,55,20,5,4,0,1996
Mike Sorber,KC ,M,23,23,1960,4,6,34,12,29,27,2,2,0,1996
Darren Sawatzky,NE ,F,28,19,1776,4,5,41,22,25,8,16,1,0,1996
Miles Joseph,MET,M,24,23,1927,4,4,27,19,26,28,7,3,0,1996
Brian Haynes,DAL,M,26,23,1983,4,3,29,16,26,40,3,1,0,1996
Paul Keegan,NE ,F,27,20,1844,4,3,30,18,40,40,16,4,0,1996
Rob Johnson,MET,F,18,12,1136,4,3,34,16,27,17,9,2,0,1996
Marcelo Carrera,CLB,F,30,12,1339,4,2,26,16,15,36,2,0,0,1996
Washington Rodriguez,DAL,M-F,14,9,806,4,2,28,16,16,18,7,2,1,1996
Greg Vanney,LA ,D,29,24,2236,4,1,31,13,30,11,1,2,0,1996
Tab Ramos,MET,M,25,25,2158,3,10,44,20,28,75,11,11,1,1996
Roberto Donadoni,MET,M,17,17,1530,3,8,34,13,10,37,1,1,0,1996
John Harkes,DC ,M,29,28,2469,3,8,44,26,31,47,8,4,0,1996
Chris Henderson,COL,M,29,29,2544,3,8,58,29,36,40,16,4,0,1996
John Doyle,SJ ,D,30,30,2652,3,6,27,13,59,37,3,6,1,1996
Ivan McKinley,TB ,D-M,26,25,2168,3,6,31,13,41,22,3,11,0,1996
Welton,NE ,F,29,20,1909,3,6,34,15,30,62,25,3,0,1996
Leonel Alvarez,DAL,M,22,22,1959,3,5,22,14,35,32,3,14,2,1996
Scott Benedetti,COL,F,32,32,2815,3,5,44,14,42,72,4,1,0,1996
Jaime Moreno,DC ,F,9,9,700,3,3,21,9,14,17,8,0,0,1996
Geoff Aunger,NE ,D,29,26,2397,3,3,27,8,66,34,2,10,0,1996
Paul Caligiuri,CLB,D,22,21,1869,3,2,15,5,24,22,1,2,1,1996
Mark Semioli,LA ,D,28,27,2475,3,2,21,14,41,46,4,5,0,1996
Doctor Khumalo,CLB,M,25,23,1930,3,2,25,13,24,48,9,2,0,1996
Shawn Medved,DC ,M,27,13,1171,3,1,17,12,23,22,1,0,0,1996
Jeff Baicher,SJ ,M,30,28,2180,3,1,28,12,48,50,10,2,0,1996
Alan Prampin,KC ,F,15,2,337,3,0,11,4,4,6,0,0,0,1996
Robert Warzycha,CLB,M,20,20,1747,2,11,45,17,34,53,1,6,0,1996
Billy Thompson,CLB,M,24,24,2074,2,8,21,9,8,44,2,1,0,1996
Ben Iroha,SJ ,M,29,24,2194,2,8,34,20,54,26,4,6,0,1996
Diego Sonora,DAL,M-D,31,31,2720,2,7,23,13,46,49,7,5,0,1996
Ted Eck,DAL,M-F,26,16,1564,2,6,24,15,34,37,18,3,0,1996
Roy Wegerle,COL,F,22,16,1458,2,6,28,14,13,19,13,1,0,1996
Frank Klopas,KC ,F,22,16,1235,2,4,24,7,26,25,6,3,0,1996
Guillermo Jara,LA ,M,21,6,811,2,4,28,8,13,10,5,0,0,1996
Cle Kooiman,TB ,D,27,27,2394,2,3,4,3,61,16,2,7,0,1996
Troy Dayak,SJ ,D,25,25,2232,2,3,20,8,27,16,3,3,0,1996
Arash Noamouz,LA ,D,12,11,852,2,2,6,4,5,14,0,0,0,1996
Goran Hunjak,TB ,M,21,15,1412,2,2,17,9,40,14,6,1,0,1996
Imad Baba,NE ,M,11,8,736,2,2,19,9,9,23,8,0,0,1996
Jose Vasquez,LA ,D,14,11,876,2,2,26,13,34,20,4,4,0,1996
Richard Sharpe,COL,F,17,7,681,2,2,27,15,9,11,4,2,0,1996
Scott Uderitz,KC ,D,28,24,2117,2,1,10,6,52,25,0,5,1,1996
Jorge Salcedo,LA ,M,29,22,2060,2,1,11,7,22,25,1,4,0,1996
Eddie Pope,DC ,D,18,18,1575,2,1,12,4,14,13,0,2,0,1996
Robert Ukrop,NE ,F,9,8,634,2,1,14,8,9,10,7,1,0,1996
Lawrence Lozzano,DAL,M,31,31,2688,2,1,25,15,50,55,7,3,0,1996
Altimont Butler,SJ ,M,14,4,411,2,0,7,4,12,2,0,0,0,1996
Uche Okafor,KC ,D,30,30,2593,2,0,8,6,34,12,0,4,0,1996
Nicola Caricola,MET,D,26,26,2193,2,0,17,8,38,19,4,6,1,1996
Steve Pittman,TB ,D,26,26,2252,1,6,23,7,22,23,2,7,0,1996
Jeff Agoos,DC ,D,32,32,2805,1,5,19,7,24,43,0,4,0,1996
Richie Williams,DC ,M,30,30,2570,1,5,29,8,49,38,5,5,1,1996
Mario Gori,DC ,D,25,22,1925,1,3,10,7,31,26,3,3,0,1996
Kris Kelderman,DC ,M,18,8,817,1,3,14,6,13,7,0,0,0,1996
Peter Woodring,NE ,D,21,20,1622,1,3,25,4,24,33,5,3,0,1996
Jorge Rodas,SJ ,M,29,17,1773,1,3,58,25,41,33,4,7,0,1996
Ricardo Iribarren,CLB,D,16,15,1300,1,2,5,3,20,14,0,5,1,1996
Todd Yeagley,CLB,M,22,14,1251,1,2,9,3,20,14,0,2,1,1996
Frankie Hejduk,TB ,D,9,8,727,1,2,11,7,12,15,5,0,0,1996
John Maessner,DC ,M-D,20,5,713,1,2,12,5,3,9,0,0,0,1996
Mark Santel,DAL,M,30,28,2613,1,2,13,8,28,20,4,5,0,1996
Ian Hennessey,MET,M,8,4,311,1,1,3,1,4,5,1,0,0,1996
Ramiro Corrales,SJ ,M,11,5,461,1,1,4,3,9,5,0,1,0,1996
Henry Gutierrez,SJ ,M,7,4,360,1,1,6,3,6,6,0,1,0,1996
Chris Unger,MET,M,16,12,1029,1,1,8,2,7,12,3,0,0,1996
Rhett Harty,MET,D,31,31,2662,1,1,10,3,55,26,1,7,0,1996
Mike Burns,NE ,M,17,14,1294,1,1,11,5,20,7,1,4,0,1996
Mike Clark,CLB,D,27,27,2329,1,1,12,3,31,27,1,4,2,1996
Alexi Lalas,NE ,D,25,25,2218,1,1,17,7,44,20,1,4,1,1996
Chris Armas,LA ,M,22,20,1702,1,1,21,9,33,26,1,3,0,1996
Peter Vermes,MET,D,30,30,2700,1,1,40,16,59,40,5,8,0,1996
Jesse Marsch,DC ,M,4,0,92,1,0,1,1,0,0,0,0,0,1996
Yari Allnutt,KC ,F,1,0,45,1,0,1,1,1,0,0,0,0,1996
Paul Holocher,SJ ,M,4,2,205,1,0,2,2,3,1,1,0,0,1996
Mark Watson,CLB,D,18,18,1563,1,0,2,1,27,14,0,3,1,1996
Richard Farrer,DAL,D,31,31,2758,1,0,3,2,35,29,1,2,0,1996
Robin Fraser,LA ,D,27,27,2390,1,0,6,1,27,16,0,3,0,1996
Matt Kmosko,COL,D,31,31,2788,1,0,6,4,24,23,0,5,0,1996
Sean Henderson,COL,M,9,9,780,1,0,7,3,7,10,0,0,0,1996
Zak Ibsen,DAL,M,22,18,1601,1,0,8,6,27,19,1,1,0,1996
Ted Chronopoulos,NE ,D,14,11,1000,1,0,8,4,10,12,0,1,0,1996
Brad Wilson,LA ,D,22,14,969,1,0,8,2,27,7,1,4,0,1996
Tim Martin,SJ ,D,32,32,2871,1,0,10,3,26,40,0,2,0,1996
John Garvey,LA ,F,13,3,517,1,0,10,5,5,7,0,0,0,1996
Ante Razov,LA ,F,3,1,172,1,0,10,4,1,2,1,0,0,1996
Dante Washington,CLB,F,9,2,317,1,0,11,5,6,11,2,0,0,1996
Brian Bliss,CLB,D,19,19,1566,1,0,12,4,27,26,2,3,0,1996
Chad Ashton,DAL,M,23,10,974,1,0,23,8,11,12,0,1,0,1996
Diego Gutierrez,KC ,D,28,24,2068,0,4,17,3,29,32,1,5,0,1996
John DeBrito,NE ,D,21,18,1537,0,4,18,7,26,15,9,4,0,1996
Paul Wright,KC ,F,17,7,690,0,3,7,3,6,23,4,0,0,1996
Sean Bowers,KC ,D,31,31,2769,0,3,12,4,46,18,1,1,0,1996
Eddie Lewis,SJ ,M,25,13,1253,0,3,14,7,18,23,3,0,1,1996
Evans Wise,TB ,M,23,17,1512,0,3,22,7,53,41,15,3,0,1996
Ruben Hernandez,MET,M,10,9,836,0,3,34,16,5,14,13,0,0,1996
Felipe Rodriguez,COL,M,10,5,472,0,2,1,1,6,9,1,0,0,1996
Manny Lagos,MET,M,6,6,483,0,2,6,4,4,3,1,0,0,1996
Eric Eichmann,KC ,F,15,4,481,0,2,8,6,3,8,0,0,0,1996
Kevin Wylie,NE ,F,22,22,1839,0,2,9,2,30,22,0,3,0,1996
Victor Mella,NE ,M,8,6,583,0,2,10,3,8,7,2,0,0,1996
Michael Emenalo,SJ ,D,29,28,2534,0,2,14,8,53,32,3,13,0,1996
Petter Villegas,MET,M,3,2,165,0,1,0,0,2,5,1,0,0,1996
Obi Monome,CLB,M,1,0,26,0,1,0,0,0,0,0,0,0,1996
Andrew Shue,LA ,F,5,0,96,0,1,0,0,1,1,0,0,0,1996
Todd Miller,CLB,M,3,2,157,0,1,1,1,0,1,1,0,0,1996
Iain Fraser,NE ,D,23,23,2070,0,1,2,0,10,11,0,3,0,1996
Denis Hamlett,COL,D,31,31,2790,0,1,3,1,45,25,1,7,0,1996
Brian Kamler,DC ,M,12,3,470,0,1,4,2,4,3,0,0,0,1996
Kevin Koetters,KC ,M,15,6,743,0,1,4,2,8,7,0,0,0,1996
David Vaudreuil,DC ,D,14,13,1147,0,1,4,3,12,4,0,0,0,1996
Damian Silvera,MET,M,15,8,804,0,1,5,2,10,12,3,2,0,1996
Manny Motajo,LA ,D,20,16,1486,0,1,5,1,35,13,0,5,0,1996
Curt Onalfo,LA ,D,13,7,688,0,1,5,1,23,6,0,4,0,1996
Nidal Baba,MET,M,3,1,190,0,1,5,2,3,6,0,1,0,1996
Raimo De Vries,COL,F,4,4,355,0,1,5,2,2,3,8,0,0,1996
Adam Frye,TB ,D,15,9,725,0,1,6,4,14,6,3,3,1,1996
Rob Smith,CLB,M,9,9,765,0,1,6,2,15,5,1,2,0,1996
Dan Calichman,LA ,D,28,28,2372,0,1,8,2,35,24,1,7,0,1996
Scott Cannon,COL,D,21,16,1582,0,1,10,3,30,13,0,3,0,1996
Matt McKeon,KC ,D,12,9,823,0,1,10,9,14,7,0,2,0,1996
Edmundo Rodriguez,MET,M,11,5,473,0,1,10,4,11,3,6,0,0,1996
Samuel Ekeme,KC ,D,23,19,1693,0,1,20,9,25,21,0,4,1,1996
George Gelnovatch,DC ,M,2,2,135,0,0,0,0,1,4,0,0,0,1996
Said Fazlagic,DC ,D,2,1,136,0,0,0,0,3,1,0,1,0,1996
Ricci Greenwood,CLB,M,1,0,7,0,0,0,0,1,0,0,0,0,1996
Rivers Guthrie,TB ,M,0,0,0,0,0,0,0,0,0,0,0,0,1996
Ken Hesse,MET,F,1,1,90,0,0,0,0,0,0,0,0,0,1996
Mirsad Huseinovic,MET,M,1,1,45,0,0,0,0,0,0,1,0,0,1996
Mike Huwiler,DC ,M,5,3,247,0,0,0,0,1,3,0,1,0,1996
Tayt Ianni,SJ ,D,6,3,287,0,0,0,0,2,1,0,0,0,1996
Chris Brauchle,MET,M,5,3,323,0,0,0,0,0,5,1,0,0,1996
Danny Barber,MET,M,1,1,90,0,0,0,0,1,1,0,0,0,1996
Andrew Restrepo,MET,D,5,4,343,0,0,0,0,10,6,0,1,0,1996
Travis Rinker,MET,M,3,0,31,0,0,0,0,0,1,0,0,0,1996
Ed Pinon,COL,M,1,0,48,0,0,0,0,0,0,0,0,0,1996
Sterling Wescott,DC ,M,2,1,102,0,0,0,0,0,1,0,0,0,1996
Bojan Vuckovic,NE ,F,1,0,14,0,0,0,0,1,0,0,0,0,1996
Rene Ortiz,DAL,D,2,1,96,0,0,0,0,2,0,0,0,0,1996
Martin Munnelly,MET,M,1,0,23,0,0,0,0,0,1,0,0,0,1996
Omid Namazi,MET,M,1,0,12,0,0,0,0,0,0,0,0,0,1996
Brent Longenecker,MET,M,2,0,19,0,0,0,0,0,0,0,0,0,1996
Francis Okaroh,NE ,D,20,20,1777,0,0,0,0,34,22,0,6,1,1996
Thor Lee,DC ,D,2,2,134,0,0,0,0,2,2,0,1,0,1996
Stan Lembryk,MET,M,1,0,9,0,0,0,0,0,0,0,0,0,1996
Josh McKay,COL,M,4,1,125,0,0,0,0,0,1,0,1,0,1996
Greg Lalas,TB ,D,3,1,94,0,0,1,0,1,0,0,0,0,1996
Brandon Ward,CLB,M,6,3,304,0,0,1,1,7,6,0,0,0,1996
Rafael Amaya,SJ ,D,7,0,97,0,0,1,0,1,2,0,0,0,1996
Ben Crawley,DC ,F,5,0,82,0,0,1,0,2,2,0,1,0,1996
Troy Edwards,COL,D,4,3,289,0,0,1,0,2,2,0,0,0,1996
John Diffley,TB ,D,13,6,574,0,0,1,1,11,6,0,1,0,1996
Erik Imler,DC ,M,19,15,1355,0,0,1,0,17,4,0,0,0,1996
Louis Ken-Kwofie,MET,M,1,1,90,0,0,1,0,0,3,1,0,0,1996
Mac Cozier,CLB,F,13,0,155,0,0,2,1,6,3,3,1,0,1996
Tom Lips,NE ,D,8,5,473,0,0,2,1,17,3,0,3,0,1996
Ed Puskarich,DAL,D,18,14,1238,0,0,2,1,12,14,1,2,0,1996
Tommy Reasoner,KC ,D,13,7,646,0,0,3,1,4,8,2,0,0,1996
Brandon Pollard,DAL,D,10,9,820,0,0,3,1,8,8,0,0,0,1996
Richard Weiszmann,NE ,D,10,9,817,0,0,3,2,7,2,0,0,0,1996
Patrick Tardieu,NE ,F,5,0,69,0,0,3,1,1,1,0,0,0,1996
Jeff Zaun,MET,D,21,19,1584,0,0,3,1,20,26,0,5,0,1996
Ryshiem Henderson,SJ ,F,3,0,78,0,0,3,1,5,2,0,0,0,1996
Jorge Flores,DAL,M,8,3,292,0,0,3,2,5,4,0,2,0,1996
Frank Yallop,TB ,D,29,28,2513,0,0,3,0,15,9,0,4,0,1996
Shane Battelle,CLB,M,15,10,841,0,0,4,1,14,15,0,2,0,1996
Oscar Draguicevich,SJ ,D,19,17,1416,0,0,4,0,37,26,0,5,1,1996
Derek Backman,TB ,M,25,14,1368,0,0,4,1,20,8,0,2,0,1996
Juan Suarez,DC ,F,2,2,160,0,0,4,1,1,3,0,0,0,1996
Paul Young,CLB,F,4,1,137,0,0,5,4,0,4,0,0,0,1996
Jimmy Glenn,DAL,F,9,0,115,0,0,5,4,2,1,2,0,0,1996
Ian Butterworth,COL,D,17,17,1379,0,0,5,2,18,8,0,4,0,1996
Ted Gillen,MET,D,15,9,819,0,0,6,1,4,10,1,0,0,1996
Brian Bates,COL,M,19,7,896,0,0,6,3,9,8,0,2,0,1996
Clint Peay,DC ,D,19,18,1665,0,0,6,2,22,15,0,2,0,1996
Mickey Kydes,MET,M,11,7,556,0,0,8,5,6,6,0,3,0,1996
Matt Knowles,MET,D,21,16,1589,0,0,8,2,19,16,0,5,0,1996
Nelson Vargas,TB ,M,9,4,443,0,0,9,2,6,15,2,0,0,1996
Dominic Kinnear,COL,M,14,11,973,0,0,12,4,15,17,2,4,0,1996
Cristian da Silva,MET,D,20,12,1158,0,0,13,1,17,16,0,3,1,1996
Janusz Michallik,CLB,M,31,28,2490,0,0,14,2,30,23,0,2,0,1996
Roy Lassiter,TB ,F,30,30,2580,27,4,76,49,20,39,70,2,0,1996
Raul Diaz Arce,DC ,F,28,28,2351,23,2,100,49,32,26,35,6,1,1996
Eduardo Hurtado,LA ,F,26,26,2323,21,7,87,56,48,26,25,5,0,1996
Preki,KC ,M,32,32,2880,18,13,140,61,26,44,7,3,0,1996
Brian McBride,CLB,F,28,28,2307,17,3,79,44,21,46,10,0,0,1996
Steve Rammel,DC ,F,26,20,1649,14,3,54,32,27,42,20,4,0,1996
Vitalis Takawira,KC ,F,28,25,2233,13,7,70,48,35,42,44,0,1,1996
Paul Bravo,SJ ,M,31,31,2654,13,5,58,29,36,69,30,2,0,1996
Jason Kreis,DAL,M,31,29,2564,13,5,90,41,38,48,7,4,0,1996
Giovanni Savarese,MET,F,26,15,1576,13,1,49,32,27,22,38,1,0,1996
Pete Marino,CLB,F,29,18,1700,11,4,52,36,41,34,28,0,0,1996
Jean Harbor,COL,F,29,27,2111,11,4,61,33,43,39,24,3,1,1996
Joe-Max Moore,NE ,F,14,14,1238,11,1,36,19,20,24,16,2,0,1996
Eric Wynalda,SJ ,F,27,26,2326,10,13,68,38,39,55,40,6,0,1996
Eduardo Espinoza,SJ ,F,26,26,2310,10,5,54,30,33,49,35,5,1,1996
Mark Chung,KC ,M,32,32,2847,8,9,81,40,35,69,4,0,0,1996
Shaun Bartlett,COL,F,26,26,2252,8,7,88,39,25,32,27,5,0,1996
Giuseppe Galderisi,NE ,F,25,22,1961,7,8,57,25,32,89,22,5,0,1996
Cobi Jones,LA ,M,28,27,2375,7,4,48,24,26,76,15,2,0,1996
Steve Ralston,TB ,M,31,31,2762,7,2,24,12,25,33,4,1,0,1996
Marcelo Balboa,COL,D,18,16,1525,7,2,28,14,15,22,4,2,0,1996
Adrian Paz,CLB,M,27,19,1802,6,10,48,25,36,54,36,1,0,1996
Alberto Naveda,NE ,F,25,20,1734,6,7,65,35,51,60,3,8,0,1996
Harut Karapetyan,LA ,F,28,23,1860,6,6,62,30,27,27,16,1,0,1996
Hugo Sanchez,DAL,F,23,21,1708,6,3,40,23,27,36,9,6,1,1996
Maurice Johnston,KC ,M-F,29,29,2573,6,3,54,28,34,24,23,4,0,1996
Antony De Avila,MET,F,8,7,650,6,2,20,13,19,9,6,1,0,1996
Mauricio Cienfuegos,LA ,M,28,27,2405,5,11,47,26,24,46,17,6,0,1996
Gerell Elliott,DAL,F,20,16,1523,5,7,43,24,15,25,20,0,0,1996
Martin Vasquez,TB ,M,31,31,2700,5,6,51,25,49,36,2,5,0,1996
Brian Maisonneuve,CLB,M,15,13,1209,5,2,22,12,24,27,2,1,0,1996
John Kerr,DAL,F,19,16,1404,5,2,29,14,21,19,11,1,0,1996
A.J. Wood,MET,F,21,13,1136,5,2,34,22,17,25,4,0,0,1996
Steve Trittschuh,COL,D,32,32,2880,5,2,45,20,51,31,1,2,0,1996
Diego Viera,TB ,F,17,6,774,5,0,17,10,21,12,10,3,1,1996
Marco Etcheverry,DC ,M,26,23,2144,4,19,51,30,36,50,4,7,0,1996
Carlos Valderrama,TB ,M,23,23,2059,4,17,24,12,10,40,3,0,0,1996
Tony Sanneh,DC ,D,25,24,2047,4,8,32,19,55,20,5,4,0,1996
Mike Sorber,KC ,M,23,23,1960,4,6,34,12,29,27,2,2,0,1996
Darren Sawatzky,NE ,F,28,19,1776,4,5,41,22,25,8,16,1,0,1996
Miles Joseph,MET,M,24,23,1927,4,4,27,19,26,28,7,3,0,1996
Brian Haynes,DAL,M,26,23,1983,4,3,29,16,26,40,3,1,0,1996
Paul Keegan,NE ,F,27,20,1844,4,3,30,18,40,40,16,4,0,1996
Rob Johnson,MET,F,18,12,1136,4,3,34,16,27,17,9,2,0,1996
Marcelo Carrera,CLB,F,30,12,1339,4,2,26,16,15,36,2,0,0,1996
Washington Rodriguez,DAL,M-F,14,9,806,4,2,28,16,16,18,7,2,1,1996
Greg Vanney,LA ,D,29,24,2236,4,1,31,13,30,11,1,2,0,1996
Tab Ramos,MET,M,25,25,2158,3,10,44,20,28,75,11,11,1,1996
Roberto Donadoni,MET,M,17,17,1530,3,8,34,13,10,37,1,1,0,1996
John Harkes,DC ,M,29,28,2469,3,8,44,26,31,47,8,4,0,1996
Chris Henderson,COL,M,29,29,2544,3,8,58,29,36,40,16,4,0,1996
John Doyle,SJ ,D,30,30,2652,3,6,27,13,59,37,3,6,1,1996
Ivan McKinley,TB ,D-M,26,25,2168,3,6,31,13,41,22,3,11,0,1996
Welton,NE ,F,29,20,1909,3,6,34,15,30,62,25,3,0,1996
Leonel Alvarez,DAL,M,22,22,1959,3,5,22,14,35,32,3,14,2,1996
Scott Benedetti,COL,F,32,32,2815,3,5,44,14,42,72,4,1,0,1996
Jaime Moreno,DC ,F,9,9,700,3,3,21,9,14,17,8,0,0,1996
Geoff Aunger,NE ,D,29,26,2397,3,3,27,8,66,34,2,10,0,1996
Paul Caligiuri,CLB,D,22,21,1869,3,2,15,5,24,22,1,2,1,1996
Mark Semioli,LA ,D,28,27,2475,3,2,21,14,41,46,4,5,0,1996
Doctor Khumalo,CLB,M,25,23,1930,3,2,25,13,24,48,9,2,0,1996
Shawn Medved,DC ,M,27,13,1171,3,1,17,12,23,22,1,0,0,1996
Jeff Baicher,SJ ,M,30,28,2180,3,1,28,12,48,50,10,2,0,1996
Alan Prampin,KC ,F,15,2,337,3,0,11,4,4,6,0,0,0,1996
Robert Warzycha,CLB,M,20,20,1747,2,11,45,17,34,53,1,6,0,1996
Billy Thompson,CLB,M,24,24,2074,2,8,21,9,8,44,2,1,0,1996
Ben Iroha,SJ ,M,29,24,2194,2,8,34,20,54,26,4,6,0,1996
Diego Sonora,DAL,M-D,31,31,2720,2,7,23,13,46,49,7,5,0,1996
Ted Eck,DAL,M-F,26,16,1564,2,6,24,15,34,37,18,3,0,1996
Roy Wegerle,COL,F,22,16,1458,2,6,28,14,13,19,13,1,0,1996
Frank Klopas,KC ,F,22,16,1235,2,4,24,7,26,25,6,3,0,1996
Guillermo Jara,LA ,M,21,6,811,2,4,28,8,13,10,5,0,0,1996
Cle Kooiman,TB ,D,27,27,2394,2,3,4,3,61,16,2,7,0,1996
Troy Dayak,SJ ,D,25,25,2232,2,3,20,8,27,16,3,3,0,1996
Arash Noamouz,LA ,D,12,11,852,2,2,6,4,5,14,0,0,0,1996
Goran Hunjak,TB ,M,21,15,1412,2,2,17,9,40,14,6,1,0,1996
Imad Baba,NE ,M,11,8,736,2,2,19,9,9,23,8,0,0,1996
Jose Vasquez,LA ,D,14,11,876,2,2,26,13,34,20,4,4,0,1996
Richard Sharpe,COL,F,17,7,681,2,2,27,15,9,11,4,2,0,1996
Scott Uderitz,KC ,D,28,24,2117,2,1,10,6,52,25,0,5,1,1996
Jorge Salcedo,LA ,M,29,22,2060,2,1,11,7,22,25,1,4,0,1996
Eddie Pope,DC ,D,18,18,1575,2,1,12,4,14,13,0,2,0,1996
Robert Ukrop,NE ,F,9,8,634,2,1,14,8,9,10,7,1,0,1996
Lawrence Lozzano,DAL,M,31,31,2688,2,1,25,15,50,55,7,3,0,1996
Altimont Butler,SJ ,M,14,4,411,2,0,7,4,12,2,0,0,0,1996
Uche Okafor,KC ,D,30,30,2593,2,0,8,6,34,12,0,4,0,1996
Nicola Caricola,MET,D,26,26,2193,2,0,17,8,38,19,4,6,1,1996
Steve Pittman,TB ,D,26,26,2252,1,6,23,7,22,23,2,7,0,1996
Jeff Agoos,DC ,D,32,32,2805,1,5,19,7,24,43,0,4,0,1996
Richie Williams,DC ,M,30,30,2570,1,5,29,8,49,38,5,5,1,1996
Mario Gori,DC ,D,25,22,1925,1,3,10,7,31,26,3,3,0,1996
Kris Kelderman,DC ,M,18,8,817,1,3,14,6,13,7,0,0,0,1996
Peter Woodring,NE ,D,21,20,1622,1,3,25,4,24,33,5,3,0,1996
Jorge Rodas,SJ ,M,29,17,1773,1,3,58,25,41,33,4,7,0,1996
Ricardo Iribarren,CLB,D,16,15,1300,1,2,5,3,20,14,0,5,1,1996
Todd Yeagley,CLB,M,22,14,1251,1,2,9,3,20,14,0,2,1,1996
Frankie Hejduk,TB ,D,9,8,727,1,2,11,7,12,15,5,0,0,1996
John Maessner,DC ,M-D,20,5,713,1,2,12,5,3,9,0,0,0,1996
Mark Santel,DAL,M,30,28,2613,1,2,13,8,28,20,4,5,0,1996
Ian Hennessey,MET,M,8,4,311,1,1,3,1,4,5,1,0,0,1996
Ramiro Corrales,SJ ,M,11,5,461,1,1,4,3,9,5,0,1,0,1996
Henry Gutierrez,SJ ,M,7,4,360,1,1,6,3,6,6,0,1,0,1996
Chris Unger,MET,M,16,12,1029,1,1,8,2,7,12,3,0,0,1996
Rhett Harty,MET,D,31,31,2662,1,1,10,3,55,26,1,7,0,1996
Mike Burns,NE ,M,17,14,1294,1,1,11,5,20,7,1,4,0,1996
Mike Clark,CLB,D,27,27,2329,1,1,12,3,31,27,1,4,2,1996
Alexi Lalas,NE ,D,25,25,2218,1,1,17,7,44,20,1,4,1,1996
Chris Armas,LA ,M,22,20,1702,1,1,21,9,33,26,1,3,0,1996
Peter Vermes,MET,D,30,30,2700,1,1,40,16,59,40,5,8,0,1996
Jesse Marsch,DC ,M,4,0,92,1,0,1,1,0,0,0,0,0,1996
Yari Allnutt,KC ,F,1,0,45,1,0,1,1,1,0,0,0,0,1996
Paul Holocher,SJ ,M,4,2,205,1,0,2,2,3,1,1,0,0,1996
